week, cumTotOrders, cumCusOrders, cumStoreOrders, cumCost, curTotOrders, curCusOrders, curStoreOrders, curCost, currentCount
51, 11232, 6452, 4780, 48280.86661688515, 94, 44, 50, 330.273725847777, 45
1, 11277, 6497, 4780, 48553.86862329629, 45, 45, 0, 273.00200641113514, 45
1, 11315, 6535, 4780, 48814.75100291613, 38, 38, 0, 260.88237961983884, 38
1, 11364, 6584, 4780, 49094.12613402259, 49, 49, 0, 279.3751311064591, 49
51, 11522, 6622, 4900, 49473.565343278446, 158, 38, 120, 379.43920925585275, 41
1, 11559, 6659, 4900, 49732.59791473441, 37, 37, 0, 259.03257145596604, 37
1, 11629, 6699, 4930, 50037.94867558632, 70, 40, 30, 305.3507608519078, 41
1, 11721, 6751, 4970, 50367.152777054565, 92, 52, 40, 329.20410146824725, 53
51, 11814, 6794, 5020, 50696.395056961715, 93, 43, 50, 329.24227990714814, 44
1, 11850, 6830, 5020, 50953.54403124003, 36, 36, 0, 257.1489742783178, 36
1, 11889, 6869, 5020, 51216.24397118397, 39, 39, 0, 262.6999399439383, 39
1, 11996, 6906, 5090, 51557.466116453674, 107, 37, 70, 341.2221452697031, 39
51, 12079, 6939, 5140, 51876.00106438291, 83, 33, 50, 318.5349479292333, 34
1, 12156, 6976, 5180, 52188.726728149435, 77, 37, 40, 312.72566376652986, 38
1, 12236, 7026, 5210, 52505.89648439368, 80, 50, 30, 317.1697562442441, 51
1, 12278, 7068, 5210, 52773.86947389586, 42, 42, 0, 267.97298950218305, 42
1, 12321, 7111, 5210, 53043.54443409896, 43, 43, 0, 269.6749602031015, 43
51, 12418, 7158, 5260, 53376.873333370466, 97, 47, 50, 333.3288992714996, 48
1, 12456, 7196, 5260, 53637.75571299031, 38, 38, 0, 260.88237961983884, 38
1, 12559, 7229, 5330, 53975.128963045805, 103, 33, 70, 337.37325005549695, 35
51, 12648, 7268, 5380, 54300.17682860988, 89, 39, 50, 325.0478655640733, 40
1, 12690, 7310, 5380, 54568.14981811206, 42, 42, 0, 267.97298950218305, 42
1, 12761, 7341, 5420, 54873.72812893077, 71, 31, 40, 305.57831081870995, 32
1, 12799, 7379, 5420, 55134.61050855061, 38, 38, 0, 260.88237961983884, 38
51, 12926, 7416, 5510, 55491.91019084991, 127, 37, 90, 357.2996822992933, 39
1, 12998, 7458, 5540, 55799.7052538743, 72, 42, 30, 307.79506302439404, 43
1, 13082, 7502, 5580, 56120.34526427781, 84, 44, 40, 320.64001040350905, 45
1, 13125, 7545, 5580, 56390.02022448091, 43, 43, 0, 269.6749602031015, 43
51, 13216, 7586, 5630, 56717.179286419676, 91, 41, 50, 327.1590619387661, 42
1, 13286, 7626, 5660, 57022.53004727158, 70, 40, 30, 305.3507608519078, 41
1, 13363, 7663, 5700, 57335.25571103811, 77, 37, 40, 312.72566376652986, 38
1, 13398, 7698, 5700, 57590.48563894789, 35, 35, 0, 255.22992790977875, 35
1, 13473, 7733, 5740, 57900.86873458616, 75, 35, 40, 310.38309563827124, 36
51, 13583, 7763, 5820, 58243.9219186326, 110, 30, 80, 343.0531840464366, 32
1, 13623, 7803, 5820, 58508.40860456919, 40, 40, 0, 264.4866859365871, 40
1, 13702, 7842, 5860, 58823.43935469932, 79, 39, 40, 315.03075013013313, 40
1, 13734, 7874, 5860, 59072.68077769987, 32, 32, 0, 249.24142300054422, 32
1, 13781, 7921, 5860, 59348.91382756946, 47, 47, 0, 276.2330498695885, 47
51, 13871, 7961, 5910, 59675.02085639356, 90, 40, 50, 326.1070288241023, 41
